seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5403,site_dynamic,high,False,0.34782608695652173,0.34782608695652173,400,8.0,14,2.0,90.0000011920929,92.0000011920929,,264.5000034272671,2,0,2,0,0,0,258,0,False,False,0,0
5404,site_small,low,True,1.0,1.0,89,4.75,8,0,7.0,7.0,7.0,7.0,0,0,0,0,0,0,9,0,False,False,0,0
5404,site_small,medium,False,0.75,0.75,180,28.0,48,0,44.0000002682209,44.0000002682209,,58.66666702429453,0,0,0,0,0,0,46,0,False,False,0,0
5404,site_small,high,True,1.0,1.0,82,6.0,9,3.0,18.800000235438347,21.800000235438347,21.800000235438347,21.800000235438347,3,3,0,0,0,0,1,0,False,False,0,0
5404,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,18.5,8,0,7.0,7.05,,8.225,0,0,0,0,0,0,28,0,False,False,0,0
5404,site_medium,medium,True,1.0,1.0,65,7.0,9,3.0,11.500000096857548,14.500000096857548,14.500000096857548,14.500000096857548,2,1,1,0,0,0,4,0,False,False,0,0
5404,site_medium,high,False,0.7333333333333333,0.7333333333333333,300,24.25,44,0,83.00000089406967,83.00000089406967,,113.1818194010041,0,0,0,0,0,0,51,0,False,False,0,0
5404,site_dynamic,low,True,1.0,1.0,355,36.75,30,0,28.0,28.0,28.0,28.0,0,0,0,0,0,0,39,0,False,False,0,0
5404,site_dynamic,medium,False,0.6666666666666666,0.6666666666666666,400,6.5,10,1.0,46.50000059604645,47.50000059604645,,71.25000089406967,1,1,0,0,0,0,58,0,False,False,0,0
5404,site_dynamic,high,False,0.6956521739130435,0.6956521739130435,400,31.0,26,6.0,112.0000011920929,118.0000011920929,,169.62500171363354,6,1,5,0,0,0,69,0,False,False,0,0
5405,site_small,low,True,1.0,1.0,87,5.5,6,0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,4,0,False,False,0,0
5405,site_small,medium,True,1.0,1.0,83,4.0,4,0,12.300000123679638,12.300000123679638,12.300000123679638,12.300000123679638,0,0,0,0,0,0,3,0,False,False,0,0
5405,site_small,high,True,1.0,1.0,151,11.75,8,0,41.20000045001507,41.20000045001507,41.20000045001507,41.20000045001507,0,0,0,0,0,0,16,0,False,False,0,0
5405,site_medium,low,True,1.0,1.0,232,12.5,10,0,9.0,9.0,9.0,9.0,0,0,0,0,0,0,19,0,False,False,0,0
5405,site_medium,medium,False,0.9,0.9,300,22.75,18,2.0,46.000000447034836,48.05000044703483,,53.388889385594254,2,2,0,0,0,0,26,0,False,False,0,0
5405,site_medium,high,False,0.9333333333333333,0.9333333333333333,300,37.25,52,5.0,90.50000089406967,95.50000089406967,,102.32142952936036,4,0,4,0,0,0,20,0,False,False,0,0
5405,site_dynamic,low,False,0.5833333333333334,0.5833333333333334,400,30.75,32,0,21.0,21.0,,36.0,0,0,0,0,0,0,51,0,False,False,0,0
5405,site_dynamic,medium,False,0.8666666666666667,0.8666666666666667,400,37.25,29,2.0,69.50000059604645,71.55000059604644,,82.5576929954382,2,1,1,0,0,0,80,0,False,False,0,0
5405,site_dynamic,high,False,0.6956521739130435,0.6956521739130435,400,278.75,393,128.0,215.5000011920929,343.5000011920929,,493.78125171363354,127,124,3,0,0,0,248,0,True,True,0,0
5406,site_small,low,True,1.0,1.0,107,3.75,7,0,4.5,4.5,4.5,4.5,0,0,0,0,0,0,8,0,False,False,0,0
5406,site_small,medium,False,0.75,0.75,180,7.75,11,0,32.5000002682209,32.5000002682209,,43.333333690961204,0,0,0,0,0,0,16,0,False,False,0,0
5406,site_small,high,False,0.3333333333333333,0.3333333333333333,180,43.5,87,2.0,78.5000005364418,80.5000005364418,,241.5000016093254,1,0,1,0,0,0,79,0,False,False,0,0
5406,site_medium,low,False,0.7142857142857143,0.7142857142857143,300,2.0,2,0,4.0,4.05,,5.67,0,0,0,0,0,0,5,0,False,False,0,0
5406,site_medium,medium,False,0.9,0.9,300,35.5,31,5.0,53.000000447034836,58.000000447034836,,64.44444494114981,5,5,0,0,0,0,26,0,False,False,0,0
5406,site_medium,high,True,1.0,1.0,239,33.75,47,12.0,71.3000007122755,83.3500007122755,83.3500007122755,83.3500007122755,12,2,10,0,0,0,20,0,False,False,0,0
5406,site_dynamic,low,False,0.25,0.25,400,23.5,2,0,3.0,3.0,,12.0,0,0,0,0,0,0,102,0,False,False,0,0
5406,site_dynamic,medium,True,1.0,1.0,243,45.0,27,2.0,46.80000036209822,48.90000036209822,48.90000036209822,48.90000036209822,2,1,1,0,0,0,29,0,False,False,0,0
5406,site_dynamic,high,False,0.8260869565217391,0.8260869565217391,400,47.75,34,5.0,101.5000011920929,106.5000011920929,,128.92105407463876,5,1,4,0,0,0,63,0,False,False,0,0
5407,site_small,low,True,1.0,1.0,67,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,False,False,0,0
5407,site_small,medium,True,1.0,1.0,69,1.75,3,0,9.400000102818012,9.400000102818012,9.400000102818012,9.400000102818012,0,0,0,0,0,0,1,0,False,False,0,0
5407,site_small,high,True,1.0,1.0,162,18.5,17,0,46.90000048279762,46.90000048279762,46.90000048279762,46.90000048279762,0,0,0,0,0,0,10,0,False,False,0,0
5407,site_medium,low,True,1.0,1.0,186,13.5,6,0,7.0,7.0,7.0,7.0,0,0,0,0,0,0,7,0,False,False,0,0
5407,site_medium,medium,False,0.7,0.7,300,40.0,62,0,97.00000044703484,97.00000044703484,,138.57142921004979,0,0,0,0,0,0,58,0,False,False,0,0
5407,site_medium,high,True,1.0,1.0,198,22.25,22,5.0,52.70000058412552,57.70000058412552,57.70000058412552,57.70000058412552,4,3,1,0,0,0,15,0,False,False,0,0
5407,site_dynamic,low,False,0.5,0.5,400,64.5,72,0,36.0,36.0,,72.0,0,0,0,0,0,0,168,0,False,False,0,0
5407,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,31.75,42,0,74.00000059604645,74.00000059604645,,138.7500011175871,0,0,0,0,0,0,67,0,False,False,0,0
5407,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,400,63.5,71,6.0,120.5000011920929,126.5000011920929,,193.96666849454243,6,2,4,0,0,0,70,0,False,False,0,0
5408,site_small,low,True,1.0,1.0,6,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,False,False,0,0
