seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recoveries,emergency_stops,unresolved_emergency_stops
5402,site_small,low,False,0.6666666666666666,0.6666666666666666,180,2.5,0,0,0,0,,0.0,0,0,0,0,0,0,55,55,0,0,0
5402,site_small,medium,True,1.0,1.0,170,0.5,0,0,16.900000251829624,16.900000251829624,16.900000251829624,16.900000251829624,0,0,0,0,0,0,40,40,0,0,0
5402,site_small,high,True,1.0,1.0,142,5.25,0,0,29.400000423192978,29.400000423192978,29.400000423192978,29.400000423192978,0,0,0,0,0,0,43,40,3,0,0
5402,site_medium,low,True,1.0,1.0,50,1.25,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,13,13,0,0,0
5402,site_medium,medium,False,0.9,0.9,300,20.0,22,22.0,32.000000447034836,54.000000447034836,,60.00000049670537,17,13,4,0,0,0,38,38,0,0,0
5402,site_medium,high,False,0.7333333333333333,0.7333333333333333,300,11.0,4,4.0,60.00000089406967,64.00000089406967,,87.2727284919132,3,3,0,0,0,0,93,83,10,0,0
5402,site_dynamic,low,False,0.5833333333333334,0.5833333333333334,400,12.5,0,0,4.0,4.0,,6.857142857142857,0,0,0,0,0,0,155,74,81,0,0
5402,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,12.25,0,0,43.00000059604645,43.00000059604645,,46.071429210049764,0,0,0,0,0,0,84,77,7,0,0
5402,site_dynamic,high,False,0.08695652173913043,0.08695652173913043,400,23.5,0,0,82.0000011920929,82.0000011920929,,943.0000137090683,0,0,0,0,0,0,393,13,380,0,0
5403,site_small,low,False,0.6666666666666666,0.6666666666666666,180,1.0,0,0,0,0,,0.0,0,0,0,0,0,0,73,72,1,0,0
5403,site_small,medium,False,0.75,0.75,180,4.5,0,0,22.0000002682209,22.0000002682209,,29.3333336909612,0,0,0,0,0,0,51,49,2,0,0
5403,site_small,high,False,0.0,0.0,180,0.0,0,0,36.0000005364418,36.0000005364418,,3600000053.6441803,0,0,0,0,0,0,88,88,0,0,0
5403,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,3.0,0,0,2.0,2.0,,3.5,0,0,0,0,0,0,128,128,0,0,0
5403,site_medium,medium,True,1.0,1.0,148,7.0,0,0,16.800000220537186,16.800000220537186,16.800000220537186,16.800000220537186,0,0,0,0,0,0,34,32,2,0,0
5403,site_medium,high,False,0.6,0.6,300,17.0,7,7.0,110.00000089406967,117.00000089406967,,195.00000149011612,4,0,4,0,0,0,55,55,0,0,0
5403,site_dynamic,low,False,0.5,0.5,400,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,153,153,0,0,0
5403,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,7.5,0,0,40.00000059604645,40.00000059604645,,150.00000223517418,0,0,0,0,0,0,196,178,18,0,0
5403,site_dynamic,high,False,0.43478260869565216,0.43478260869565216,400,50.0,79,79.0,88.0000011920929,167.0000011920929,,384.1000027418137,20,3,17,0,0,0,102,102,0,0,0
5404,site_small,low,True,1.0,1.0,87,0.5,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,14,14,0,0,0
5404,site_small,medium,True,1.0,1.0,61,2.25,0,0,9.100000090897083,9.100000090897083,9.100000090897083,9.100000090897083,0,0,0,0,0,0,11,11,0,0,0
5404,site_small,high,False,0.3333333333333333,0.3333333333333333,180,36.5,61,61.0,39.400000527501106,100.4000005275011,,301.2000015825033,34,10,24,0,0,0,21,21,0,0,0
5404,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,5.5,0,0,3.0,3.05,,3.558333333333333,0,0,0,0,0,0,52,52,0,0,0
5404,site_medium,medium,False,0.9,0.9,300,6.5,1,1.0,32.000000447034836,33.000000447034836,,36.66666716337204,1,1,0,0,0,0,52,52,0,0,0
5404,site_medium,high,False,0.5333333333333333,0.5333333333333333,300,42.5,64,64.0,78.00000089406967,142.00000089406967,,266.25000167638063,21,1,20,0,0,0,32,28,4,0,0
5404,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,400,4.0,0,0,0,0,,0.0,0,0,0,0,0,0,147,146,1,0,0
5404,site_dynamic,medium,False,0.8666666666666667,0.8666666666666667,400,5.75,1,1.0,47.00000059604645,48.10000059604645,,55.5000006877459,1,1,0,0,0,0,136,134,2,0,0
5404,site_dynamic,high,False,0.6956521739130435,0.6956521739130435,400,23.5,26,26.0,82.0000011920929,108.0000011920929,,155.25000171363354,13,0,13,0,0,0,71,70,1,0,0
5405,site_small,low,False,0.6666666666666666,0.6666666666666666,180,1.75,0,0,3.0,3.0,,4.5,0,0,0,0,0,0,34,34,0,0,0
