seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5404,site_dynamic,low,False,0.6666666666666666,0.6666666666666666,400,14.75,0,0,1.0,1.0,,1.5,0,0,0,0,0,0,133,0,False,False,0,0
5404,site_dynamic,medium,False,0.8666666666666667,0.8666666666666667,400,26.5,3,3.0,76.00000059604645,79.10000059604644,,91.26923145697666,3,3,0,0,0,0,119,0,False,False,0,0
5404,site_dynamic,high,False,0.6086956521739131,0.6086956521739131,400,28.75,32,32.0,83.0000011920929,115.0000011920929,,188.92857338700975,21,0,21,0,0,0,127,0,True,True,0,0
5405,site_small,low,True,1.0,1.0,55,2.25,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,4,0,False,False,0,0
5405,site_small,medium,True,1.0,1.0,83,4.5,0,0,12.300000123679638,12.300000123679638,12.300000123679638,12.300000123679638,0,0,0,0,0,0,5,0,False,False,0,0
5405,site_small,high,True,1.0,1.0,56,0.75,0,0,12.200000166893005,12.200000166893005,12.200000166893005,12.200000166893005,0,0,0,0,0,0,4,0,False,False,0,0
5405,site_medium,low,False,0.2857142857142857,0.2857142857142857,300,1.0,0,0,0,0,,0.0,0,0,0,0,0,0,76,0,False,False,0,0
5405,site_medium,medium,False,0.9,0.9,300,23.75,2,2.0,41.000000447034836,43.000000447034836,,47.77777827448315,2,2,0,0,0,0,55,0,False,False,0,0
5405,site_medium,high,False,0.6,0.6,300,10.0,3,3.0,64.00000089406967,67.00000089406967,,111.66666815678279,1,0,1,0,0,0,119,0,False,False,0,0
5405,site_dynamic,low,False,0.6666666666666666,0.6666666666666666,400,8.75,0,0,1.0,1.0,,1.5,0,0,0,0,0,0,93,0,False,False,0,0
5405,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,13.25,0,0,54.00000059604645,54.050000596046445,,202.68750223517418,0,0,0,0,0,0,162,0,False,False,0,0
5405,site_dynamic,high,False,0.13043478260869565,0.13043478260869565,400,112.0,197,197.0,80.0000011920929,277.0000011920929,,2123.6666758060455,197,1,196,0,0,0,196,0,False,False,0,0
5406,site_small,low,False,0.6666666666666666,0.6666666666666666,180,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,31,0,False,False,0,0
5406,site_small,medium,False,0.0,0.0,180,1.0,0,0,20.0000002682209,20.0000002682209,,,0,0,0,0,0,0,41,0,False,False,0,0
5406,site_small,high,True,1.0,1.0,87,6.0,6,6.0,19.400000259280205,25.400000259280205,25.400000259280205,25.400000259280205,1,0,1,0,0,0,7,0,False,False,0,0
5406,site_medium,low,False,0.2857142857142857,0.2857142857142857,300,4.5,0,0,0,0,,0.0,0,0,0,0,0,0,61,0,False,False,0,0
5406,site_medium,medium,True,1.0,1.0,232,10.5,0,0,29.20000034570694,29.20000034570694,29.20000034570694,29.20000034570694,0,0,0,0,0,0,45,0,False,False,0,0
5406,site_medium,high,False,0.6666666666666666,0.6666666666666666,300,10.75,1,1.0,67.00000089406967,68.00000089406967,,102.00000134110451,1,1,0,0,0,0,74,0,False,False,0,0
5406,site_dynamic,low,False,0.08333333333333333,0.08333333333333333,400,3.0,0,0,12.0,12.0,,144.0,0,0,0,0,0,0,181,0,False,False,0,0
5406,site_dynamic,medium,False,0.6666666666666666,0.6666666666666666,400,31.0,3,3.0,48.00000059604645,51.00000059604645,,76.50000089406967,2,2,0,0,0,0,137,0,False,False,0,0
5406,site_dynamic,high,False,0.34782608695652173,0.34782608695652173,400,10.0,0,0,80.0000011920929,80.0000011920929,,230.00000342726707,0,0,0,0,0,0,190,0,False,False,0,0
5407,site_small,low,True,1.0,1.0,107,0.5,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,5,0,False,False,0,0
5407,site_small,medium,True,1.0,1.0,43,0.5,0,0,4.300000064074993,4.300000064074993,4.300000064074993,4.300000064074993,0,0,0,0,0,0,1,0,False,False,0,0
5407,site_small,high,False,0.6666666666666666,0.6666666666666666,180,1.25,1,1.0,37.0000005364418,38.0000005364418,,57.000000804662704,1,1,0,0,0,0,75,0,False,False,0,0
5407,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,12.75,0,0,5.0,5.0,,5.833333333333334,0,0,0,0,0,0,75,0,False,False,0,0
5407,site_medium,medium,False,0.6,0.6,300,4.0,0,0,32.000000447034836,32.000000447034836,,53.333334078391395,0,0,0,0,0,0,160,0,False,False,0,0
5407,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,0.0,0,0,59.60000088810921,59.60000088810921,,127.71428761737687,0,0,0,0,0,0,53,0,False,False,0,0
5407,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,400,15.25,0,0,25.0,25.0,,75.0,0,0,0,0,0,0,129,0,True,True,0,0
5407,site_dynamic,medium,False,0.4,0.4,400,20.0,13,13.0,42.00000059604645,55.00000059604645,,137.50000149011612,8,0,8,0,0,0,301,0,True,True,0,0
5407,site_dynamic,high,False,0.30434782608695654,0.30434782608695654,400,12.5,3,3.0,80.0000011920929,83.0000011920929,,272.71428963116233,3,2,1,0,0,0,76,0,False,False,0,0
5408,site_small,low,True,1.0,1.0,92,0.5,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,6,0,False,False,0,0
5408,site_small,medium,False,0.0,0.0,180,0.0,0,0,18.0000002682209,18.0000002682209,,,0,0,0,0,0,0,67,0,False,False,0,0
5408,site_small,high,False,0.16666666666666666,0.16666666666666666,180,2.5,0,0,35.400000527501106,35.400000527501106,,212.40000316500664,0,0,0,0,0,0,41,0,False,False,0,0
5408,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,16.5,0,0,5.0,5.05,,8.8375,0,0,0,0,0,0,114,0,False,False,0,0
5408,site_medium,medium,True,1.0,1.0,124,5.5,0,0,14.400000184774399,14.400000184774399,14.400000184774399,14.400000184774399,0,0,0,0,0,0,19,0,False,False,0,0
5408,site_medium,high,False,0.26666666666666666,0.26666666666666666,300,2.75,0,0,61.00000089406967,61.00000089406967,,228.75000335276127,0,0,0,0,0,0,114,0,False,False,0,0
5408,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,400,5.25,0,0,1.0,1.0,,3.0,0,0,0,0,0,0,9,0,False,False,0,0
5408,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,51.0,0,0,148.00000059604645,148.00000059604645,,555.0000022351742,0,0,0,0,0,0,85,0,False,False,0,0
5408,site_dynamic,high,False,0.30434782608695654,0.30434782608695654,400,15.25,5,5.0,89.0000011920929,94.0000011920929,,308.8571467740195,2,0,2,0,0,0,154,0,False,False,0,0
5409,site_small,low,True,1.0,1.0,109,0.75,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,10,0,False,False,0,0
5409,site_small,medium,True,1.0,1.0,33,0.0,0,0,3.300000049173832,3.300000049173832,3.300000049173832,3.300000049173832,0,0,0,0,0,0,1,0,False,False,0,0
5409,site_small,high,True,1.0,1.0,71,1.5,0,0,16.20000021159649,16.20000021159649,16.20000021159649,16.20000021159649,0,0,0,0,0,0,11,0,False,False,0,0
5409,site_medium,low,False,0.14285714285714285,0.14285714285714285,300,2.0,0,0,0,0,,0.0,0,0,0,0,0,0,98,0,False,False,0,0
5409,site_medium,medium,False,0.7,0.7,300,13.75,8,8.0,35.000000447034836,43.000000447034836,,61.428572067192626,4,3,1,0,0,0,89,0,False,False,0,0
5409,site_medium,high,True,1.0,1.0,167,7.0,1,1.0,37.400000497698784,38.400000497698784,38.400000497698784,38.400000497698784,1,0,1,0,0,0,38,0,False,False,0,0
5409,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,23.75,0,0,12.0,12.05,,13.145454545454546,0,0,0,0,0,0,63,0,False,False,0,0
5409,site_dynamic,medium,False,0.6666666666666666,0.6666666666666666,400,13.75,2,2.0,50.00000059604645,52.050000596046445,,78.07500089406967,2,2,0,0,0,0,63,0,True,True,0,0
5409,site_dynamic,high,False,0.43478260869565216,0.43478260869565216,400,35.0,5,5.0,90.0000011920929,95.0000011920929,,218.50000274181366,5,4,1,0,0,0,73,0,False,False,0,0
