seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5401,site_medium,medium,False,0.8,0.8,300,6.0,2,2.0,32.000000447034836,34.000000447034836,,42.500000558793545,2,2,0,0,0,0,9,0,False,False,0,0
5401,site_medium,high,False,0.8666666666666667,0.8666666666666667,300,12.5,2,2.0,67.00000089406967,69.05000089406967,,79.67307795469577,2,2,0,0,0,0,52,0,False,False,0,0
5401,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,16.75,0,0,3.0,3.0,,3.5999999999999996,0,0,0,0,0,0,75,0,False,False,0,0
5401,site_dynamic,medium,False,0.4,0.4,400,16.5,1,1.0,40.00000059604645,41.00000059604645,,102.50000149011612,1,1,0,0,0,0,133,0,False,False,0,0
5401,site_dynamic,high,False,0.4782608695652174,0.4782608695652174,400,20.0,5,5.0,83.0000011920929,88.05000119209289,,184.10454794710333,3,1,2,0,0,0,136,0,False,False,0,0
5402,site_small,low,False,0.6666666666666666,0.6666666666666666,180,4.5,0,0,0,0,,0.0,0,0,0,0,0,0,27,0,False,False,0,0
5402,site_small,medium,True,1.0,1.0,48,1.0,0,0,4.700000070035458,4.700000070035458,4.700000070035458,4.700000070035458,0,0,0,0,0,0,4,0,False,False,0,0
5402,site_small,high,True,1.0,1.0,73,2.25,1,1.0,15.600000217556953,16.600000217556953,16.600000217556953,16.600000217556953,1,0,1,0,0,0,5,0,False,False,0,0
5402,site_medium,low,True,1.0,1.0,150,11.25,0,0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,18,0,False,False,0,0
5402,site_medium,medium,False,0.9,0.9,300,20.25,0,0,31.000000447034836,31.000000447034836,,34.44444494114982,0,0,0,0,0,0,76,0,False,False,0,0
5402,site_medium,high,False,0.7333333333333333,0.7333333333333333,300,18.5,26,26.0,60.00000089406967,86.00000089406967,,117.2727284919132,26,0,26,0,0,0,83,0,False,False,0,0
5402,site_dynamic,low,False,0.5833333333333334,0.5833333333333334,400,26.25,0,0,16.0,16.05,,27.514285714285712,0,0,0,0,0,0,81,0,False,False,0,0
5402,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,28.25,10,10.0,45.00000059604645,55.00000059604645,,58.92857206719262,4,0,4,0,0,0,102,0,False,False,0,0
5402,site_dynamic,high,False,0.08695652173913043,0.08695652173913043,400,28.5,0,0,80.0000011920929,80.0000011920929,,920.0000137090683,0,0,0,0,0,0,196,0,False,False,0,0
5403,site_small,low,False,0.6666666666666666,0.6666666666666666,180,15.0,0,0,7.0,7.05,,10.575000000000001,0,0,0,0,0,0,28,0,False,False,0,0
5403,site_small,medium,True,1.0,1.0,87,2.0,0,0,12.700000129640102,12.700000129640102,12.700000129640102,12.700000129640102,0,0,0,0,0,0,11,0,False,False,0,0
5403,site_small,high,True,1.0,1.0,111,1.0,0,0,25.20000033080578,25.25000033080578,25.25000033080578,25.25000033080578,0,0,0,0,0,0,26,0,False,False,0,0
5403,site_medium,low,True,1.0,1.0,152,4.75,0,0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,21,0,False,False,0,0
5403,site_medium,medium,False,0.4,0.4,300,0.0,0,0,30.000000447034836,30.000000447034836,,75.00000111758709,0,0,0,0,0,0,267,0,True,True,0,0
5403,site_medium,high,False,0.5333333333333333,0.5333333333333333,300,13.75,5,5.0,103.00000089406967,108.00000089406967,,202.50000167638063,2,0,2,0,0,0,44,0,False,False,0,0
5403,site_dynamic,low,False,0.6666666666666666,0.6666666666666666,400,21.5,0,0,4.0,4.0,,6.0,0,0,0,0,0,0,89,0,False,False,0,0
5403,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,8.0,0,0,40.00000059604645,40.00000059604645,,150.00000223517418,0,0,0,0,0,0,138,0,False,False,0,0
5403,site_dynamic,high,False,0.4782608695652174,0.4782608695652174,400,12.0,5,5.0,86.0000011920929,91.0000011920929,,190.27272976528513,2,0,2,0,0,0,180,0,False,False,0,0
5404,site_small,low,False,0.6666666666666666,0.6666666666666666,180,0.0,0,0,0,0,,0.0,0,0,0,0,0,0,161,0,True,True,0,0
5404,site_small,medium,True,1.0,1.0,86,1.5,0,0,10.600000128149986,10.600000128149986,10.600000128149986,10.600000128149986,0,0,0,0,0,0,4,0,False,False,0,0
5404,site_small,high,True,1.0,1.0,78,3.75,3,3.0,16.000000223517418,19.000000223517418,19.000000223517418,19.000000223517418,3,1,2,0,0,0,6,0,False,False,0,0
5404,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,11.0,0,0,3.0,3.05,,3.558333333333333,0,0,0,0,0,0,38,0,False,False,0,0
5404,site_medium,medium,False,0.9,0.9,300,3.5,1,1.0,32.000000447034836,33.000000447034836,,36.66666716337204,1,1,0,0,0,0,40,0,False,False,0,0
5404,site_medium,high,False,0.2,0.2,300,11.25,1,1.0,63.00000089406967,64.00000089406967,,320.00000447034836,1,1,0,0,0,0,23,0,False,False,0,0
5404,site_dynamic,low,False,0.25,0.25,400,12.5,0,0,0,0,,0.0,0,0,0,0,0,0,86,0,False,False,0,0
5404,site_dynamic,medium,False,0.4666666666666667,0.4666666666666667,400,37.5,3,3.0,48.00000059604645,51.00000059604645,,109.28571556295667,3,3,0,0,0,0,60,0,False,False,0,0
5404,site_dynamic,high,False,0.34782608695652173,0.34782608695652173,400,64.0,86,86.0,82.0000011920929,168.0000011920929,,483.0000034272671,49,0,49,0,0,0,58,0,False,False,0,0
5405,site_small,low,False,0.6666666666666666,0.6666666666666666,180,1.5,0,0,2.0,2.0,,3.0,0,0,0,0,0,0,33,0,False,False,0,0
5405,site_small,medium,False,0.75,0.75,180,1.5,0,0,24.0000002682209,24.0000002682209,,32.00000035762787,0,0,0,0,0,0,23,0,False,False,0,0
5405,site_small,high,False,0.6666666666666666,0.6666666666666666,180,3.75,0,0,39.0000005364418,39.0000005364418,,58.500000804662704,0,0,0,0,0,0,116,0,True,True,0,0
5405,site_medium,low,True,1.0,1.0,197,5.5,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,20,0,False,False,0,0
5405,site_medium,medium,False,0.3,0.3,300,24.0,0,0,32.000000447034836,32.000000447034836,,106.66666815678279,0,0,0,0,0,0,87,0,False,False,0,0
5405,site_medium,high,False,0.7333333333333333,0.7333333333333333,300,25.5,24,24.0,64.00000089406967,88.00000089406967,,120.00000121918592,16,0,16,0,0,0,36,0,False,False,0,0
5405,site_dynamic,low,False,0.5833333333333334,0.5833333333333334,400,5.5,0,0,0,0,,0.0,0,0,0,0,0,0,57,0,False,False,0,0
5405,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,35.0,7,7.0,45.00000059604645,52.050000596046445,,55.767857781478334,3,0,3,0,0,0,135,0,False,False,0,0
5405,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,400,33.25,39,39.0,82.0000011920929,121.05000119209289,,185.61000182787578,33,4,29,0,0,0,60,0,False,False,0,0
5406,site_small,low,True,1.0,1.0,91,0.25,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,8,0,False,False,0,0
5406,site_small,medium,False,0.75,0.75,180,1.0,0,0,22.0000002682209,22.0000002682209,,29.3333336909612,0,0,0,0,0,0,42,0,False,False,0,0
5406,site_small,high,False,0.8333333333333334,0.8333333333333334,180,9.25,6,6.0,41.0000005364418,47.0000005364418,,56.40000064373016,1,0,1,0,0,0,17,0,False,False,0,0
5406,site_medium,low,False,0.7142857142857143,0.7142857142857143,300,4.25,0,0,2.0,2.05,,2.8699999999999997,0,0,0,0,0,0,3,0,False,False,0,0
5406,site_medium,medium,True,1.0,1.0,216,10.75,1,1.0,24.600000321865082,25.600000321865082,25.600000321865082,25.600000321865082,1,0,1,0,0,0,28,0,False,False,0,0
5406,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,4.0,0,0,64.00000089406967,64.00000089406967,,137.14285905872072,0,0,0,0,0,0,81,0,False,False,0,0
5406,site_dynamic,low,False,0.4166666666666667,0.4166666666666667,400,23.75,0,0,7.0,7.0,,16.8,0,0,0,0,0,0,87,0,False,False,0,0
5406,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,34.75,0,0,48.00000059604645,48.050000596046445,,90.09375111758709,0,0,0,0,0,0,25,0,False,False,0,0
